Other Letter 成功编码映射表 - x-Chinese-CNS
生成时间: 07/07/2025 10:17:47
========================================================
Unicode码点	字符	字符名称	编码字节(Hex)
========================================================
U+3006	〆	OtherLetter	A3D8
U+3041	ぁ	OtherLetter	A3DE
U+3042	あ	OtherLetter	A3DF
U+3043	ぃ	OtherLetter	A3E0
U+3044	い	OtherLetter	A3E1
U+3045	ぅ	OtherLetter	A3E2
U+3046	う	OtherLetter	A3E3
U+3047	ぇ	OtherLetter	A3E4
U+3048	え	OtherLetter	A3E5
U+3049	ぉ	OtherLetter	A3E6
U+304A	お	OtherLetter	A3E7
U+304B	か	OtherLetter	A3E8
U+304C	が	OtherLetter	A3E9
U+304D	き	OtherLetter	A3EA
U+304E	ぎ	OtherLetter	A3EB
U+304F	く	OtherLetter	A3EC
U+3050	ぐ	OtherLetter	A3ED
U+3051	け	OtherLetter	A3EE
U+3052	げ	OtherLetter	A3EF
U+3053	こ	OtherLetter	A3F0
U+3054	ご	OtherLetter	A3F1
U+3055	さ	OtherLetter	A3F2
U+3056	ざ	OtherLetter	A3F3
U+3057	し	OtherLetter	A3F4
U+3058	じ	OtherLetter	A3F5
U+3059	す	OtherLetter	A3F6
U+305A	ず	OtherLetter	A3F7
U+305B	せ	OtherLetter	A3F8
U+305C	ぜ	OtherLetter	A3F9
U+305D	そ	OtherLetter	A3FA
U+305E	ぞ	OtherLetter	A3FB
U+305F	た	OtherLetter	A3FC
U+3060	だ	OtherLetter	A3FD
U+3061	ち	OtherLetter	A3FE
U+3062	ぢ	OtherLetter	A5F1
U+3063	っ	OtherLetter	A5F2
U+3064	つ	OtherLetter	A5F3
U+3065	づ	OtherLetter	A5F4
U+3066	て	OtherLetter	A5F5
U+3067	で	OtherLetter	A5F6
U+3068	と	OtherLetter	A5F7
U+3069	ど	OtherLetter	A5F8
U+306A	な	OtherLetter	A5F9
U+306B	に	OtherLetter	A5FA
U+306C	ぬ	OtherLetter	A5FB
U+306D	ね	OtherLetter	A5FC
U+306E	の	OtherLetter	A5FD
U+306F	は	OtherLetter	A5FE
U+3070	ば	OtherLetter	A6BF
